ID,CCE_P1706_100.mzxml,CCE_P1706_102.mzxml,CCE_P1706_104.mzxml,CCE_P1706_106.mzxml,CCE_P1706_108.mzxml,CCE_P1706_110.mzxml,CCE_P1706_112.mzxml,CCE_P1706_114.mzxml,CCE_P1706_116.mzxml,CCE_P1706_118.mzxml,CCE_P1706_120.mzxml,CCE_P1706_122.mzxml,CCE_P1706_154.mzxml,CCE_P1706_156.mzxml,CCE_P1706_158.mzxml,CCE_P1706_160.mzxml,CCE_P1706_162.mzxml,CCE_P1706_164.mzxml,CCE_P1706_166.mzxml,CCE_P1706_168.mzxml,CCE_P1706_170.mzxml,CCE_P1706_172.mzxml,CCE_P1706_174.mzxml,CCE_P1706_176.mzxml,CCE_P1706_178.mzxml,CCE_P1706_180.mzxml,CCE_P1706_182.mzxml,CCE_P1706_184.mzxml,CCE_P1706_186.mzxml,CCE_P1706_188.mzxml,CCE_P1706_208.mzxml,CCE_P1706_210.mzxml,CCE_P1706_212.mzxml,CCE_P1706_214.mzxml,CCE_P1706_216.mzxml,CCE_P1706_218.mzxml,CCE_P1706_220.mzxml,CCE_P1706_222.mzxml,CCE_P1706_224.mzxml,CCE_P1706_228.mzxml,CCE_P1706_230.mzxml,CCE_P1706_40.mzxml,CCE_P1706_42.mzxml,CCE_P1706_44.mzxml,CCE_P1706_46.mzxml,CCE_P1706_48.mzxml,CCE_P1706_50.mzxml,CCE_P1706_52.mzxml,CCE_P1706_54.mzxml,CCE_P1706_56.mzxml,CCE_P1706_58.mzxml,CCE_P1706_60.mzxml,CCE_P1706_62.mzxml,CCE_P1706_64.mzxml,CCE_P1706_66.mzxml,CCE_P1706_68.mzxml,CCE_P1706_70.mzxml,CCE_P1706_72.mzxml,CCE_P1706_74.mzxml,CCE_P1706_76.mzxml,CCE_P1706_78.mzxml,CCE_P1706_80.mzxml,CCE_P1706_82.mzxml,CCE_P1706_84.mzxml,CCE_P1706_86.mzxml,CCE_P1706_88.mzxml,CCE_P1706_90.mzxml,CCE_P1706_92.mzxml,CCE_P1706_94.mzxml,CCE_P1706_96.mzxml,CCE_P1706_98.mzxml,Class16S,Confidence,Domain16S,Family16S,Genus16S,Order16S,Phylum16S,Species16S
19cb8efe1c753483c2589c74c7822ed9,174,337,532,1052,363,426,385,895,1114,319,332,271,0,170,106,71,201,104,52,157,125,101,76,57,69,47,258,47,40,38,193,594,1460,959,708,366,732,730,1638,176,425,388,576,626,613,191,151,155,565,265,178,131,120,569,375,393,155,210,233,318,696,1997,448,281,369,50,371,661,635,234,237,Gammaproteobacteria,0.934857,Bacteria,Thioglobaceae,SUP05 cluster,Thiomicrospirales,Proteobacteria,NA
19be82437bfa547714979a8520de6074,590,1272,944,335,827,1006,831,394,370,704,756,576,12,51,99,101,128,89,17,0,157,32,0,0,8,0,0,0,0,0,205,337,425,788,1062,1017,461,291,510,1170,1623,464,402,191,177,87,71,266,318,150,101,45,42,542,174,197,72,61,69,558,693,575,598,775,743,39,612,550,233,600,710,Gammaproteobacteria,0.9999853,Bacteria,Porticoccaceae,SAR92 clade,Cellvibrionales,Proteobacteria,NA
c3e3af816b90df02a0cc14d91a7fee61,0,991,1004,210,0,0,1194,1164,431,0,0,0,162,1313,0,0,0,0,1054,3050,14,0,0,0,1473,0,62,0,0,0,1026,1052,84,7,0,8,1806,1002,222,0,0,1103,758,263,85,0,0,670,902,40,17,0,0,787,19,0,0,0,0,754,1301,500,19,8,0,280,1040,1098,161,0,0,Nitrososphaeria,0.7104424,Archaea,Nitrosopumilaceae,Candidatus Nitrosopelagicus,Nitrosopumilales,Thaumarchaeota,uncultured marine archaeon
c3db06b7a63186d148f5cdbcc549a392,97,130,147,101,199,210,78,121,108,239,250,151,0,0,99,75,133,60,0,0,104,0,0,0,0,0,0,0,0,0,0,82,622,2867,4029,3271,88,37,284,3716,4596,93,207,298,625,346,296,41,81,112,115,189,135,120,138,122,204,329,301,94,169,219,115,127,116,0,78,211,95,97,94,Gammaproteobacteria,0.9999977,Bacteria,Pseudohongiellaceae,Pseudohongiella,Oceanospirillales,Proteobacteria,NA
3468430277ce2317dec6f413dcfaa03e,2022,0,42,106,1013,1349,0,54,118,994,1505,681,0,0,377,176,227,148,0,0,163,54,47,64,0,32,33,82,52,60,0,45,206,639,1052,745,54,47,142,1405,1030,0,74,143,211,324,104,0,63,246,174,214,99,65,225,194,156,76,226,0,33,174,775,1794,1134,0,28,76,114,1357,1992,Alphaproteobacteria,0.9999997,Bacteria,Rhodobacteraceae,NA,Rhodobacterales,Proteobacteria,NA
3eb760e60f9536beecf2260e8065c645,30,0,68,235,390,580,0,76,225,471,498,234,0,24,129,0,86,27,0,0,4550,843,471,72,8,97,103,37,457,82,0,24,72,780,883,2204,0,0,60,2047,2224,0,110,108,158,54,62,0,56,167,125,0,19,110,521,304,110,56,65,0,0,327,334,174,486,0,0,47,508,187,72,Thermoplasmata,0.9711295,Archaea,uncultured crenarchaeote,uncultured crenarchaeote,Marine Group II,Euryarchaeota,uncultured crenarchaeote
4c4e8ae3e6a400446b6bc086c49a9334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,34,130,58,44,0,76,150,2105,1908,0,4055,1502,3487,3884,3888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxyphotobacteria,0.9885349,Bacteria,Cyanobiaceae,Prochlorococcus MIT9313,Synechococcales,Cyanobacteria,NA
195d16225396d4466eaf0d521cb48728,10,644,677,544,18,21,565,863,1171,26,13,11,411,932,0,0,0,0,410,745,33,0,0,6,659,0,142,0,4,0,598,812,374,11,0,0,862,1091,1431,0,0,701,509,160,70,0,0,375,382,44,10,0,0,451,25,10,0,0,0,393,608,584,56,19,21,236,332,387,379,16,17,Deltaproteobacteria,1,Bacteria,NA,NA,SAR324 clade(Marine group B),Proteobacteria,NA
d42ff5ae074d8ae7b783eac352a53d9b,0,1379,1106,176,0,0,998,1047,359,0,0,0,179,457,0,0,0,0,374,544,0,0,0,0,503,0,0,0,0,0,671,498,0,0,0,0,1009,611,204,0,0,1141,827,138,29,0,0,744,937,37,0,0,0,682,0,0,0,0,0,696,954,416,0,0,0,301,716,626,70,0,0,Nitrososphaeria,0.9984006,Archaea,Nitrosopumilaceae,Candidatus Nitrosopumilus,Nitrosopumilales,Thaumarchaeota,NA
b2773bfc2012bf34142dfe432d448b79,0,770,733,214,0,0,751,1093,454,0,0,0,339,395,0,0,0,0,639,659,0,0,0,0,760,0,0,0,0,0,524,736,167,0,0,0,1136,829,584,0,0,830,543,75,0,0,0,574,451,0,0,0,0,490,0,0,0,0,0,857,922,307,0,0,0,111,580,765,131,0,0,Nitrospinia,0.9995806,Bacteria,Nitrospinaceae,LS-NOB,Nitrospinales,Nitrospinae,NA
7a7ac40b08f9a40f905485296442337e,67,15,76,380,73,106,26,152,419,77,56,39,0,78,218,245,620,338,0,33,444,420,878,977,0,1081,1511,943,825,788,36,238,780,228,232,143,122,212,536,58,145,58,184,233,399,79,51,8,129,159,90,42,30,213,190,144,77,56,79,12,77,469,149,81,91,0,16,101,265,73,75,Alphaproteobacteria,0.9999995,Bacteria,OCS116 clade,NA,Parvibaculales,Proteobacteria,NA
b7bad1c1180c7b4a63dd532c765809f0,0,447,561,477,9,5,496,1180,735,0,3,3,326,159,0,0,0,0,153,311,0,0,0,0,273,0,0,0,0,0,341,737,327,4,0,3,987,762,666,0,0,504,619,219,90,0,0,242,406,49,9,0,0,606,20,0,2,0,0,827,754,788,31,6,7,165,597,797,245,0,3,Verrucomicrobiae,0.9145951,Bacteria,uncultured Verrucomicrobia bacterium,uncultured Verrucomicrobia bacterium,Arctic97B-4 marine group,Verrucomicrobia,uncultured Verrucomicrobia bacterium
9efaa27efd811129802cf233c5ced3b8,0,392,606,463,5,4,399,991,737,0,0,0,114,248,0,0,0,0,155,472,18,0,0,0,265,0,62,0,0,0,473,850,456,0,0,0,1047,984,1033,0,0,513,589,237,129,5,0,230,429,48,8,0,0,532,33,9,0,0,0,517,708,709,28,2,0,30,390,681,266,5,0,NA,1,Bacteria,NA,NA,NA,Marinimicrobia (SAR406 clade),NA
ac9f56eb5dbfc3dc6b168fc73fc6c34c,518,18,187,356,308,509,55,417,450,299,388,190,0,63,73,58,48,35,0,38,45,0,0,0,11,0,45,32,0,0,97,260,388,346,345,185,429,399,648,215,175,97,377,496,609,201,54,29,322,524,238,89,37,327,433,346,59,50,55,140,206,684,311,461,363,0,152,380,279,384,462,Alphaproteobacteria,0.7659595,Bacteria,Rhodobacteraceae,Ascidiaceihabitans,Rhodobacterales,Proteobacteria,NA
e5bef6d7a65c9a889f20b3b9f3ba62fb,0,770,392,42,0,0,651,215,16,0,0,0,606,121,0,0,0,0,2456,454,0,0,0,0,3314,0,0,0,0,0,598,289,0,0,0,0,387,238,13,0,0,426,235,48,25,0,0,256,219,19,0,0,0,157,0,0,0,0,0,375,435,65,0,0,0,1757,633,402,0,0,0,Nitrososphaeria,0.9036004,Archaea,Nitrosopumilaceae,uncultured marine archaeon,Nitrosopumilales,Thaumarchaeota,uncultured marine archaeon
838578e62435ad0daca804b83cc5037f,0,1097,479,19,0,0,1075,250,15,0,0,0,325,225,0,0,0,0,973,261,0,0,0,0,1156,0,0,0,0,0,524,194,0,0,0,0,472,195,13,0,0,571,221,17,0,0,0,665,235,0,0,0,0,212,0,0,0,0,0,647,660,50,0,0,0,2790,935,539,20,0,0,Acidimicrobiia,0.7978576,Bacteria,Microtrichaceae,Sva0996 marine group,Microtrichales,Actinobacteria,hydrothermal vent metagenome
c1965b24c3300affb79f2833bf2e4934,308,3,18,89,372,472,0,21,81,315,443,297,0,7,168,166,159,94,0,0,234,100,218,254,0,138,51,98,131,144,7,43,115,345,534,868,13,46,79,2166,1773,11,54,117,141,97,59,0,41,113,97,57,32,57,111,138,73,78,81,6,19,162,331,414,430,0,12,34,141,365,382,Alphaproteobacteria,0.8819265,Bacteria,SAR116 clade,uncultured bacterium ARCTIC09_D_04,Puniceispirillales,Proteobacteria,uncultured bacterium ARCTIC09_D_04
06a02c8a852b27651ddef23c4174e201,0,27,335,434,0,0,112,1168,982,0,0,0,0,115,0,0,0,0,0,80,15,0,0,0,28,0,75,0,0,0,238,995,334,0,0,0,783,1518,2455,0,0,232,436,129,42,0,0,93,420,0,10,0,0,445,0,0,0,0,0,407,463,576,0,0,0,0,199,504,173,0,0,Nitrospinia,0.9997881,Bacteria,Nitrospinaceae,LS-NOB,Nitrospinales,Nitrospinae,NA
f584ab1f4a468114a0be8b5e0c76cd6c,6,906,385,406,38,90,229,373,1214,141,77,82,218,298,0,395,49,0,375,291,14,63,50,57,571,31,34,814,70,39,73,249,38,10,31,0,350,98,80,118,91,43,167,75,252,16,0,29,70,77,37,41,0,335,50,9,0,38,0,1499,442,975,92,73,72,85,262,161,101,53,29,Gammaproteobacteria,0.702427,Bacteria,Idiomarinaceae,Idiomarina,Alteromonadales,Proteobacteria,Pseudoalteromonas sp. BS6_78
1ce3b5c6d85ce967f8677e23e3e9b0be,41,109,131,226,44,64,65,133,221,37,56,25,126,140,211,420,389,374,58,129,458,575,616,978,68,621,749,546,835,486,80,204,167,100,132,151,142,157,187,218,150,102,144,136,108,38,22,65,97,110,47,22,24,124,70,57,27,23,38,100,126,374,73,56,61,24,101,128,147,44,56,Alphaproteobacteria,0.8947357,Bacteria,Clade I,Clade Ia,SAR11 clade,Proteobacteria,NA
c04b599ac5b3cb36c846d64b82512196,0,121,406,425,12,0,213,1168,818,0,0,0,38,180,0,0,0,0,50,145,0,0,0,0,96,0,96,0,0,0,230,656,176,8,0,0,828,1100,1476,0,0,380,527,126,53,0,0,168,386,41,0,0,0,449,20,0,0,0,0,350,564,599,18,6,0,0,249,482,145,0,0,Nitrospinia,0.9985748,Bacteria,Nitrospinaceae,LS-NOB,Nitrospinales,Nitrospinae,NA
b43028c70c0f374f5c18bb2e6d3c7287,105,0,82,145,117,124,14,114,170,108,126,87,0,27,154,141,195,107,0,0,283,251,299,368,0,233,155,219,145,166,29,91,245,360,537,822,66,52,159,1822,1563,34,81,152,307,169,101,13,54,106,66,87,85,100,53,45,106,118,117,34,61,180,127,69,79,0,30,94,133,60,116,Alphaproteobacteria,0.8520427,Bacteria,SAR116 clade,Candidatus Puniceispirillum,Puniceispirillales,Proteobacteria,NA
27ca2b8f287c3a7e4d864cc870cf67b7,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,61,0,0,25,41,117,1215,1148,0,2227,745,1871,2252,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxyphotobacteria,0.9930299,Bacteria,Cyanobiaceae,Prochlorococcus MIT9313,Synechococcales,Cyanobacteria,NA
9cba04c3054aeda77098f8abbe8cf426,0,286,293,153,0,0,287,409,277,0,12,0,207,228,58,107,145,143,292,490,52,68,153,194,262,217,507,323,105,185,350,499,324,20,19,0,528,443,421,0,0,252,236,103,82,0,0,175,276,0,0,0,0,246,0,0,0,0,0,261,345,277,28,0,0,137,313,338,115,0,0,Alphaproteobacteria,0.8098543,Bacteria,AEGEAN-169 marine group,uncultured alpha proteobacterium,Rhodospirillales,Proteobacteria,uncultured alpha proteobacterium
a9266edae1a389b9765e6fd290689264,0,1043,385,59,0,0,612,299,72,0,0,0,407,485,0,0,0,0,856,786,0,0,0,0,912,0,0,0,0,0,415,261,17,0,0,0,441,402,47,0,0,469,203,23,9,0,0,389,133,0,0,0,0,216,0,0,0,0,0,231,442,83,0,0,0,685,348,321,50,0,0,Gammaproteobacteria,0.9999996,Bacteria,NA,NA,NA,Proteobacteria,NA
294a779a585f15ce297a86c91821e77b,0,157,268,660,0,0,127,800,1808,0,0,0,52,214,0,0,0,0,0,88,0,0,0,0,0,0,76,0,0,0,72,361,204,0,0,0,213,496,1645,0,0,193,585,153,49,0,0,134,589,0,0,0,0,385,0,0,0,0,0,95,234,918,0,0,0,0,117,185,180,0,0,Nitrososphaeria,0.9981689,Archaea,Nitrosopumilaceae,Candidatus Nitrosopumilus,Nitrosopumilales,Thaumarchaeota,NA
5186fd25233f2a6c6e262a072eace064,84,0,133,301,143,148,12,162,284,147,137,134,0,40,41,63,84,57,0,0,123,126,209,188,0,195,112,142,191,144,0,143,567,513,493,429,87,132,417,301,697,26,132,284,459,90,73,0,77,171,101,50,45,143,195,162,80,67,88,32,73,419,155,117,110,0,28,125,270,110,113,uncultured bacterium MB13C05,0.7212424,Bacteria,uncultured bacterium MB13C05,uncultured bacterium MB13C05,uncultured bacterium MB13C05,Marinimicrobia (SAR406 clade),uncultured bacterium MB13C05
7bc5d6c0df922d9766a94b78a8cb9f50,751,0,31,95,733,996,32,34,33,964,753,402,4,4,167,42,62,18,0,0,104,37,30,25,0,16,20,16,10,16,0,0,47,136,297,254,0,0,23,268,168,0,15,37,116,122,30,0,18,117,87,35,21,41,109,79,33,20,20,0,0,11,313,836,525,18,0,28,97,728,730,Bacteroidia,0.9937718,Bacteria,NS9 marine group,NA,Flavobacteriales,Bacteroidetes,NA
fb8b7d4f560083b68563f422cace75a1,0,428,214,12,0,0,514,116,0,0,0,0,224,72,0,0,0,0,1892,218,0,0,0,0,1796,0,0,0,0,0,533,207,0,0,0,0,296,123,0,0,0,231,116,42,9,0,0,223,144,0,0,0,0,70,0,0,0,0,0,359,290,29,0,0,0,1524,645,347,0,0,0,Nitrososphaeria,0.8282085,Archaea,Nitrosopumilaceae,uncultured marine archaeon DCM863,Nitrosopumilales,Thaumarchaeota,uncultured marine archaeon DCM863
5155ada28245f794abaa6829e1d3bdb8,0,873,768,0,0,0,1111,466,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,63,0,0,0,0,0,218,102,0,0,0,0,450,99,0,0,0,369,573,117,0,0,0,201,736,0,0,0,0,310,0,0,0,0,0,909,732,151,0,0,0,388,1111,839,0,0,0,Nitrososphaeria,0.9984557,Archaea,Nitrosopumilaceae,Candidatus Nitrosopumilus,Nitrosopumilales,Thaumarchaeota,NA
e58080c0c6e8bd75fb3e7209da37d460,0,221,323,626,0,0,121,691,1506,0,0,0,0,235,0,0,0,0,23,61,0,0,0,0,29,0,82,0,0,0,79,377,284,0,0,0,228,506,1285,0,0,194,544,179,66,0,0,135,550,58,0,0,0,395,0,0,0,0,0,137,251,842,22,0,0,0,123,246,148,0,0,Nitrososphaeria,0.9997865,Archaea,Nitrosopumilaceae,Candidatus Nitrosopumilus,Nitrosopumilales,Thaumarchaeota,NA
e6ddd1f6ce622c5526a14bc5cdc0a5fd,27,58,104,245,21,18,74,221,445,11,29,9,29,85,88,227,339,290,74,254,57,102,250,345,77,399,747,566,172,279,119,424,771,51,39,22,261,399,755,26,21,77,102,104,123,19,21,37,87,37,13,13,14,125,20,17,23,20,28,57,130,277,49,30,16,25,49,136,125,26,16,Alphaproteobacteria,0.9111134,Bacteria,AEGEAN-169 marine group,uncultured alpha proteobacterium,Rhodospirillales,Proteobacteria,uncultured alpha proteobacterium
07cbb4b08197efe6360e984894445b12,0,804,447,100,0,0,569,271,122,0,0,0,593,349,0,0,0,0,532,300,0,0,0,0,653,0,0,0,0,0,401,219,27,0,0,0,384,378,93,0,0,532,211,40,0,0,0,375,145,0,0,0,0,209,0,0,0,0,0,303,385,109,0,0,0,1111,312,259,58,0,0,Deltaproteobacteria,1,Bacteria,NA,NA,SAR324 clade(Marine group B),Proteobacteria,NA
48cc04c0a82d9879bc70a64f8e1f81d9,69,0,0,69,61,66,0,0,66,51,65,44,0,19,296,253,422,181,0,14,554,493,658,851,0,552,306,415,269,369,0,38,153,222,318,373,0,38,88,644,580,0,36,55,110,42,32,0,27,34,0,35,0,39,55,46,41,0,27,0,0,139,77,85,66,0,0,25,62,65,57,Alphaproteobacteria,0.7919563,Bacteria,SAR116 clade,Candidatus Puniceispirillum,Puniceispirillales,Proteobacteria,uncultured bacterium
1948c923ff6f3d20c3bdea3ca6c4688e,0,448,269,12,0,0,440,125,28,0,0,0,272,104,0,0,0,0,1525,493,0,0,0,0,1590,0,0,0,0,0,506,223,0,0,0,0,358,194,0,0,0,272,155,39,0,0,0,175,186,6,0,0,0,116,0,0,0,0,0,271,317,43,0,0,0,786,508,240,0,0,0,Nitrososphaeria,1,Archaea,Nitrosopumilaceae,NA,Nitrosopumilales,Thaumarchaeota,NA
4907f7cffba6e9523c5f2fc3e881c97a,0,489,466,35,0,0,411,253,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,20,390,808,462,179,16,54,55,852,242,279,407,589,136,59,133,163,43,33,44,31,123,20,0,29,65,45,697,434,50,0,0,0,37,546,820,0,0,0,Gammaproteobacteria,0.9999824,Bacteria,Pseudohongiellaceae,Pseudohongiella,Oceanospirillales,Proteobacteria,NA
c083d70bfb8ed45cc4a1cc02120ac27c,6,189,385,469,11,10,132,396,511,9,8,4,0,52,0,0,0,0,12,13,4,0,0,0,0,0,31,0,0,0,142,409,690,27,0,0,271,364,612,0,0,241,444,270,228,13,0,48,342,144,25,0,0,458,84,37,5,3,3,280,323,632,54,10,15,0,250,422,281,14,11,OM190,0.9962433,Bacteria,uncultured marine bacterium,uncultured marine bacterium,uncultured marine bacterium,Planctomycetes,uncultured marine bacterium
6cb216a2d70512c0120ad996c102d797,47,0,62,251,72,55,11,82,307,77,43,36,0,68,81,106,140,102,0,0,118,175,350,348,0,341,442,284,300,335,0,117,697,405,392,365,45,153,605,254,546,0,53,112,161,47,21,0,51,53,0,0,0,80,86,50,23,0,0,25,52,246,74,0,59,0,0,39,171,45,43,unidentified marine bacterioplankton,0.9753692,Bacteria,unidentified marine bacterioplankton,unidentified marine bacterioplankton,unidentified marine bacterioplankton,Marinimicrobia (SAR406 clade),unidentified marine bacterioplankton
02a6b187b591d2ce2dbcbffc13bf1fa8,0,25,387,354,6,11,54,553,538,7,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,241,121,0,0,0,245,312,427,0,0,135,635,581,956,12,7,54,515,305,62,7,6,453,141,69,8,0,6,228,262,539,14,0,5,0,125,468,188,5,4,Deltaproteobacteria,0.7903858,Bacteria,Bdellovibrionaceae,OM27 clade,Bdellovibrionales,Proteobacteria,uncultured delta proteobacterium
