id,CCE_P1706_100.mzxml,CCE_P1706_102.mzxml,CCE_P1706_104.mzxml,CCE_P1706_106.mzxml,CCE_P1706_108.mzxml,CCE_P1706_110.mzxml,CCE_P1706_112.mzxml,CCE_P1706_114.mzxml,CCE_P1706_116.mzxml,CCE_P1706_118.mzxml,CCE_P1706_120.mzxml,CCE_P1706_122.mzxml,CCE_P1706_154.mzxml,CCE_P1706_156.mzxml,CCE_P1706_158.mzxml,CCE_P1706_160.mzxml,CCE_P1706_162.mzxml,CCE_P1706_164.mzxml,CCE_P1706_166.mzxml,CCE_P1706_168.mzxml,CCE_P1706_170.mzxml,CCE_P1706_172.mzxml,CCE_P1706_174.mzxml,CCE_P1706_176.mzxml,CCE_P1706_178.mzxml,CCE_P1706_180.mzxml,CCE_P1706_182.mzxml,CCE_P1706_184.mzxml,CCE_P1706_186.mzxml,CCE_P1706_188.mzxml,CCE_P1706_208.mzxml,CCE_P1706_210.mzxml,CCE_P1706_212.mzxml,CCE_P1706_214.mzxml,CCE_P1706_216.mzxml,CCE_P1706_218.mzxml,CCE_P1706_220.mzxml,CCE_P1706_222.mzxml,CCE_P1706_224.mzxml,CCE_P1706_228.mzxml,CCE_P1706_230.mzxml,CCE_P1706_40.mzxml,CCE_P1706_42.mzxml,CCE_P1706_44.mzxml,CCE_P1706_46.mzxml,CCE_P1706_48.mzxml,CCE_P1706_50.mzxml,CCE_P1706_52.mzxml,CCE_P1706_54.mzxml,CCE_P1706_56.mzxml,CCE_P1706_58.mzxml,CCE_P1706_60.mzxml,CCE_P1706_62.mzxml,CCE_P1706_64.mzxml,CCE_P1706_66.mzxml,CCE_P1706_68.mzxml,CCE_P1706_70.mzxml,CCE_P1706_72.mzxml,CCE_P1706_74.mzxml,CCE_P1706_76.mzxml,CCE_P1706_78.mzxml,CCE_P1706_80.mzxml,CCE_P1706_82.mzxml,CCE_P1706_84.mzxml,CCE_P1706_86.mzxml,CCE_P1706_88.mzxml,CCE_P1706_90.mzxml,CCE_P1706_92.mzxml,CCE_P1706_94.mzxml,CCE_P1706_96.mzxml,CCE_P1706_98.mzxml,Class18SV9,Confidence,Domain18SV9,Family18SV9,Genus18SV9,Kingdom18SV9,Order18SV9,Phylum18SV9,Species18SV9,X
fbf8ee2e6c0a27a94d0f3debba235a39,118,459,0,1682,72,135,0,711,447,19,628,42,23,1861,166,485,721,90,3063,2599,77,1967,1795,4603,0,321,585,875,3031,2030,0,8196,0,635,1285,0,2492,0,1308,0,0,0,1086,204,2340,52,0,103,880,1002,73,10,0,397,539,0,45,0,8,0,248,26,1402,195,20,0,1129,144,6433,138,118,Arthropoda,0.9997983,Eukaryota,Maxillopoda,Clausocalanus,Opisthokonta,Crustacea,Metazoa,Clausocalanus_furcatus,9
2736d31928372424d893650924a06f5e,0,278,17,12,4353,684,0,0,0,0,2,41,19,21,27247,32,0,0,11,0,0,71,0,8,0,0,0,0,0,21130,0,0,498,0,9,0,0,1208,0,8,0,69,0,0,1124,0,5,15,24,0,0,0,0,5,26,13,113,0,0,119,28,0,0,0,0,31,21,783,0,0,0,Cnidaria,0.838283,Eukaryota,Hydrozoa,Nanomia,Opisthokonta,Cnidaria_X,Metazoa,Nanomia_bijuga,26
4d0a46680f7c06d2aa904c11084ceeac,0,0,0,0,0,0,0,0,0,0,156,54,27,9,1054,471,1441,776,26,3,3410,13097,5438,1027,0,676,1402,830,794,1232,8,0,0,5962,4978,1169,0,0,0,2895,3284,0,5,0,4,398,0,0,0,0,277,14,7,0,0,823,455,310,0,0,0,0,0,0,19,0,0,0,0,137,0,Urochordata,0.978922,Eukaryota,Appendicularia,Oikopleura,Opisthokonta,Urochordata_X,Metazoa,Oikopleura_dioica,16
ba713afd9dee96fda3318d1fd1868e61,4,0,0,0,0,5174,0,6,15,90,0,0,0,0,0,0,0,0,0,0,27,0,7387,0,0,13,0,0,0,0,0,0,2322,2913,0,1344,5821,0,18973,0,126,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1756,0,0,0,44,86,338,0,3,Cnidaria,1,Eukaryota,Hydrozoa,NA,Opisthokonta,Cnidaria_X,Metazoa,NA,15
47a1a0a1376a6fd476f46a7ed6d0ab2f,866,43,86,128,725,601,39,97,412,1342,2197,1628,27,0,89,143,173,96,0,82,203,224,36,128,121,0,116,25,48,72,432,223,618,2060,6365,3459,61,370,818,885,3006,64,66,827,154,391,225,0,86,973,1612,678,399,238,965,775,657,948,1096,21,48,177,425,839,613,40,49,66,159,888,951,Bacillariophyta,0.8430511,Eukaryota,Polar-centric-Mediophyceae,Thalassiosira,Stramenopiles,Bacillariophyta_X,Ochrophyta,NA,13
31b450a371c3aa69aa57b8fba84fc674,1147,423,276,437,2864,2775,915,2746,2739,2339,1148,2154,533,1410,93,273,113,113,236,297,312,77,64,0,287,0,174,0,80,0,356,273,0,75,75,0,582,323,231,135,71,384,203,93,84,91,72,418,163,95,0,57,55,259,111,104,98,156,70,244,269,251,285,1150,1231,403,355,230,150,2457,917,Dinophyceae,0.9978651,Eukaryota,NA,NA,Alveolata,NA,Dinoflagellata,NA,23
975a3946b0e50d644854af76c6c2c178,62,1139,1096,283,210,239,1364,2531,1765,304,118,250,683,440,0,0,97,66,218,778,107,0,58,0,103,0,648,0,89,89,615,508,85,970,883,378,1210,1155,524,0,1074,1688,1528,353,421,122,201,1368,1557,196,97,34,0,1089,388,395,47,78,0,599,1234,790,71,135,71,447,1276,1180,98,129,61,Spirotrichea,0.8360841,Eukaryota,Strombidiidae_H,Strombidiidae_H_X,Alveolata,Strombidiida,Ciliophora,Strombidiidae_H_X_sp.,19
0bc746efedeb3219e65842313c3969f2,0,2212,1648,418,0,0,1382,1361,624,0,0,0,2167,1496,0,0,0,0,426,673,0,0,0,0,543,0,0,0,0,0,1935,1021,73,0,0,0,2334,1322,406,0,0,2101,1066,117,37,0,0,932,766,49,0,0,0,1103,0,0,0,0,0,1533,2181,594,42,0,0,499,1768,1815,198,0,0,NA,1,Eukaryota,NA,NA,NA,NA,NA,NA,22
8dbcf07df47ead285bb162122c8e6caa,233,40,0,59,203,203,0,43,74,337,662,239,0,0,47,68,136,49,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,70,0,0,0,49,1458,333,1272,520,59,79,1254,5771,1895,2074,382,1789,1724,2193,4405,4325,0,0,0,119,173,206,0,0,0,0,237,303,Bacillariophyta,0.9707136,Eukaryota,Polar-centric-Mediophyceae,NA,Stramenopiles,Bacillariophyta_X,Ochrophyta,NA,39
6a7136e82eade477f2ef3ba239e182d0,0,4,6,4,0,0,0,6,0,218,196,249,121,10,159,0,306,0,21,0,1671,3489,0,0,8,0,0,3,0,0,4,6,266,9453,6,4,52,0,0,0,2,0,0,0,0,1271,786,0,0,0,0,252,609,0,598,1777,374,289,0,10,0,4,978,49,2192,96,7,2,956,3283,839,Arthropoda,1,Eukaryota,Malacostraca,NA,Opisthokonta,Crustacea,Metazoa,NA,37
72fe75effdc37927586271359b0b774f,0,0,1953,363,0,47,0,0,0,0,51,0,9,535,0,10,68,0,0,0,0,0,0,0,8,0,0,0,0,0,1810,0,102,77,0,0,2894,981,438,0,0,0,0,0,0,0,0,0,8719,0,0,0,0,0,0,66,0,74,21,8859,0,0,0,0,0,0,0,136,1887,0,0,Arthropoda,1,Eukaryota,Maxillopoda,NA,Opisthokonta,Crustacea,Metazoa,NA,35
2932925a1aec07d8bd4219a0fe9cc5ae,2154,68,51,157,2686,1512,11,19,37,1021,284,1198,24,13,115,142,554,431,8,20,273,127,82,23,0,42,64,56,45,29,0,4,12,9,0,12,20,10,6,8,3,17,51,268,72,40,49,36,42,338,185,55,91,179,387,514,209,551,224,18,143,133,1969,1656,3528,6,26,26,314,1785,3592,Bacillariophyta,0.9999971,Eukaryota,Polar-centric-Mediophyceae,Chaetoceros,Stramenopiles,Bacillariophyta_X,Ochrophyta,Chaetoceros_socialis,32
bd303ca89ca48aa9bda678dfe4501178,122,0,1011,0,26,106,1151,1083,2120,54,121,53,0,3039,9,0,0,14,0,475,0,0,0,0,0,0,0,0,0,0,967,175,146,1889,0,0,1273,195,134,0,0,0,0,0,0,0,0,5745,0,2356,92,28,0,173,0,0,64,0,0,945,252,1150,0,639,0,798,0,184,876,203,0,Arthropoda,0.8229278,Eukaryota,Maxillopoda,Metridia,Opisthokonta,Crustacea,Metazoa,Metridia_longa,14
e059514f38df97023af192816021c73b,242,91,196,237,635,436,64,143,195,408,118,515,61,106,201,219,998,427,19,32,505,739,434,731,31,1106,433,1293,1076,873,48,152,387,514,689,1548,85,195,204,3345,3432,170,178,184,139,34,27,54,114,81,38,19,17,205,185,165,38,52,16,70,165,442,276,206,423,0,138,249,150,276,169,Picozoa_X,0.9934687,Eukaryota,Picozoa_XXX,Picozoa_XXXX,Hacrobia,Picozoa_XX,Picozoa,Picozoa_XXXX_sp.,18
63c8f7a4831b5a18f7d0695d9acadf02,77,569,829,363,246,175,596,533,674,236,113,255,1416,885,0,64,101,49,448,344,200,212,227,161,791,201,396,180,684,276,232,237,70,109,252,199,681,663,248,232,465,896,711,612,392,68,96,861,596,313,105,72,59,1210,280,228,68,127,56,636,792,607,0,113,211,382,617,557,233,136,76,Dinophyceae,0.994995,Eukaryota,NA,NA,Alveolata,NA,Dinoflagellata,NA,25
d389a9cdaf9446722c68036c3b2f0637,553,0,47,48,1300,1457,100,508,182,2085,743,1876,168,478,156,146,711,397,54,185,563,472,410,268,0,820,150,443,1024,637,217,70,0,89,934,705,179,246,109,166,432,64,188,70,18,188,760,129,327,0,0,142,339,48,0,0,106,336,201,16,193,133,114,285,860,34,63,324,0,923,290,Spirotrichea,0.9840341,Eukaryota,Tontoniidae_B,NA,Alveolata,Strombidiida,Ciliophora,NA,27
dde8892ad955a7b8da974bbd6daadf40,222,25,31,0,673,673,0,75,6,201,1933,733,33,48,15,38,641,196,20,75,653,0,565,0,35,0,178,0,0,0,52,0,10051,426,493,14,8,0,0,59,6340,5,0,0,0,0,15,0,0,49,178,11,0,0,26,14,0,19,17,0,0,0,8,5,60,0,0,0,5,218,132,Acantharea,0.9994455,Eukaryota,Chaunacanthida_X,Chaunacanthida_XX,Rhizaria,Chaunacanthida,Radiolaria,Chaunacanthida_XX_sp.,30
0d18a760c858b1a6df75f88c331bf285,0,0,749,621,3199,0,0,315,543,20,0,0,9,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,876,147,0,0,0,1877,1275,1970,0,0,565,160,5342,0,0,0,156,0,0,0,0,0,24,0,0,0,0,0,12,72,222,13,0,0,10,287,0,5235,0,0,Urochordata,0.9994402,Eukaryota,Appendicularia,Appendicularia_X,Opisthokonta,Urochordata_X,Metazoa,Appendicularia_X_sp.,20
f261167db9266b8849a075afc658ddcc,79,695,326,522,236,238,417,470,775,197,169,185,498,469,43,105,56,52,94,175,442,173,180,117,234,153,420,62,433,192,261,203,119,495,268,213,406,325,211,210,179,499,180,278,257,1135,753,469,267,1462,213,310,375,526,498,840,262,396,247,256,339,449,725,177,359,242,422,471,523,237,90,Dinophyceae,0.9995187,Eukaryota,NA,NA,Alveolata,NA,Dinoflagellata,NA,31
b2013ab8b7d8b9f611df0cb6f48e1a06,787,123,79,306,1456,1748,226,571,707,1852,1378,1370,0,0,63,64,81,60,0,0,332,153,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,79,0,106,181,0,0,154,170,49,57,378,170,263,131,346,184,0,119,87,635,1527,2114,0,102,0,307,3483,1141,Dinophyceae,0.9922634,Eukaryota,Gymnodiniaceae,Gyrodinium,Alveolata,Gymnodiniales,Dinoflagellata,Gyrodinium_rubrum,57
4d191c764e9dc251eec10ace80c08f0d,0,1550,1091,320,0,0,978,960,483,0,0,0,1188,829,0,0,0,0,206,367,0,0,0,0,327,0,0,0,0,0,1585,774,83,0,0,0,2142,1115,377,0,0,1393,720,96,0,0,0,612,540,0,0,0,0,685,0,0,0,0,0,820,1199,335,0,0,0,283,853,921,118,0,0,NA,1,Eukaryota,NA,NA,NA,NA,NA,NA,36
f613660fbb2cf7243c89069324cef0b9,810,0,5,0,776,783,0,0,5,1398,3241,2604,0,0,39,49,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,166,105,126,0,0,277,6,571,0,0,3,0,0,0,15,1667,0,0,0,2,409,270,0,184,98,2063,2271,1532,0,0,0,73,861,746,0,0,0,212,464,777,Rotifera,0.9855625,Eukaryota,Rotifera_XX,Rotifera_XXX,Opisthokonta,Rotifera_X,Metazoa,Rotifera_XXX_sp.,41
26595c91c87122e473ef5092434ecd18,116,369,145,178,318,310,312,374,302,363,121,375,169,521,114,148,500,361,138,331,294,335,462,682,47,941,143,1639,683,420,129,52,37,0,195,228,613,286,116,767,475,402,140,73,0,73,1155,332,272,0,0,493,624,94,50,68,346,1149,682,131,81,101,45,126,196,190,348,423,85,159,103,Spirotrichea,0.9999998,Eukaryota,NA,NA,Alveolata,NA,Ciliophora,NA,34
e48d77788c2bb184fedd8452df6cfaa5,2137,15,30,67,81,73,22,7,24,39,36,42,0,23,88,163,418,315,0,9,82,376,122,115,7,120,64,172,104,76,8,0,22,13,31,130,7,44,5,61,29,8,75,180,103,441,349,8,74,522,756,347,440,94,511,520,416,499,629,8,38,227,1604,1835,1789,0,0,9,476,1542,2332,Bacillariophyta,0.9962448,Eukaryota,NA,NA,Stramenopiles,Bacillariophyta_X,Ochrophyta,NA,38
daa74b3e595c8ec671924ecaeaff87ff,38,0,0,0,77,55,0,0,0,185,71,361,0,0,7,80,598,428,9,0,0,286,1703,4824,0,1364,0,1430,2196,1352,0,0,0,0,10,158,0,0,0,3895,862,0,0,0,0,0,105,0,0,0,0,48,101,0,0,0,36,252,173,0,0,0,0,40,79,0,0,0,0,52,24,Spirotrichea,0.8982533,Eukaryota,Strombidiida_F_X,Strombidiida_F_XX,Alveolata,Strombidiida_F,Ciliophora,Strombidiida_F_XX_sp.,63
fba9cac619b6c2d91c00fdbdc0f247da,184,210,691,363,244,248,210,499,244,123,53,117,201,142,68,251,393,316,111,138,188,179,176,203,289,448,167,624,444,286,221,289,434,232,250,314,595,223,428,192,262,637,422,400,603,90,18,265,382,237,146,16,0,400,291,238,24,21,15,352,465,774,197,116,206,60,391,718,197,224,206,MAST-4,0.9999571,Eukaryota,MAST-4A_X,MAST-4A_XX,Stramenopiles,MAST-4A,Sagenista,MAST-4A_XX_sp.,29
4811edcfcee840bad2f7733e289af137,5,857,1219,635,10,4,501,945,1457,0,9,3,209,258,0,0,0,0,76,75,14,4,0,0,121,0,22,0,0,0,405,186,44,0,0,0,405,197,265,0,0,732,1272,485,91,0,0,440,1026,94,33,0,0,728,29,11,4,0,0,920,763,1228,23,6,0,261,1192,884,116,0,0,NA,1,Eukaryota,NA,NA,NA,NA,NA,NA,51
336797131166fe5b49e65a2cc5502073,29,0,0,0,34,10,0,0,0,82,15,63,0,0,34,628,2116,1970,0,387,33,505,4210,3040,4,45,0,242,553,661,0,0,24,9,53,94,0,0,14,1310,0,0,0,0,0,0,13,0,0,0,0,48,28,0,0,9,22,116,81,0,0,0,0,10,18,3,0,0,0,18,71,Spirotrichea,0.9137499,Eukaryota,Tontoniidae_A,Spirotontonia,Alveolata,Strombidiida,Ciliophora,Spirotontonia_sp.,46
c330030eea4bb0e1efb0c9a14eb2c934,152,0,102,297,199,200,0,62,160,276,398,199,0,47,139,384,218,122,0,0,1056,520,561,260,0,281,148,122,759,165,0,49,143,615,683,1325,0,56,101,888,1120,32,85,167,247,177,71,0,59,185,224,164,98,78,204,181,194,147,227,0,0,379,392,273,310,0,37,87,302,224,169,NA,1,Eukaryota,NA,NA,NA,NA,NA,NA,42
36166d534e7117f2d01fa497da89fd04,292,0,0,16,160,154,0,0,69,183,133,102,0,49,76,72,226,307,7,6,348,754,511,634,0,440,1810,241,637,510,0,0,178,866,1748,688,51,310,2262,1246,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,126,76,0,0,0,253,118,27,Bacillariophyta,0.9555093,Eukaryota,NA,NA,Stramenopiles,Bacillariophyta_X,Ochrophyta,NA,12
7f684b2984d0ad4c1aa515e8feddea8f,635,33,71,45,429,294,32,25,29,576,189,512,102,128,759,601,2420,1421,197,34,1264,857,176,40,0,64,90,130,81,57,16,0,110,73,33,17,0,53,152,0,0,0,0,27,120,302,170,0,0,100,226,136,324,22,159,197,182,266,322,0,0,215,117,253,262,0,0,0,35,200,363,Bacillariophyta,0.9997141,Eukaryota,Polar-centric-Mediophyceae,Chaetoceros,Stramenopiles,Bacillariophyta_X,Ochrophyta,Chaetoceros_rostratus,43
4f54bccfead12459316d50892c6ab891,8,323,49,852,21,9,125,55,481,38,19,28,18,339,8,0,0,0,23,151,183,20,113,104,89,18,1072,33,69,52,114,434,1461,10,10,0,268,278,6229,0,0,57,336,78,0,0,0,0,51,213,17,0,0,160,111,102,7,0,3,22,72,1053,9,22,0,104,53,47,12,16,8,MAST-3,1,Eukaryota,MAST-3I_X,MAST-3I_XX,Stramenopiles,MAST-3I,Opalozoa,MAST-3I_XX_sp.,54
1fa36611af47d4be34900d75af7f240d,176,28,49,29,130,135,45,46,36,186,214,150,0,7,22,34,59,26,0,0,47,13,0,0,0,0,0,0,0,0,33,36,20,11,0,0,37,36,25,0,0,135,89,316,233,1124,593,16,69,580,1601,1595,706,168,750,566,838,1575,1469,56,47,10,63,100,111,21,79,141,22,134,161,Bacillariophyta,0.9848599,Eukaryota,Polar-centric-Mediophyceae,Thalassiosira,Stramenopiles,Bacillariophyta_X,Ochrophyta,Thalassiosira_delicatula,64
6c9ba553cccf122eb9576cdd0acb7d3c,193,0,0,31,105,76,0,0,0,105,114,90,0,0,31,46,98,59,0,0,32,0,0,0,0,0,0,0,0,0,0,49,64,0,0,0,23,41,67,0,0,0,0,863,149,860,229,27,62,752,2557,1327,556,182,1106,864,887,1522,1257,0,0,0,67,81,89,0,0,0,20,120,159,Bacillariophyta,0.8604567,Eukaryota,Polar-centric-Mediophyceae,Thalassiosira,Stramenopiles,Bacillariophyta_X,Ochrophyta,NA,24
0e976dc8eb1aab35d00d1e98efde46f8,94,170,378,402,217,155,82,265,431,178,47,244,69,788,26,29,116,81,0,72,53,105,171,142,0,95,46,84,96,55,49,64,29,92,720,881,77,50,25,912,1247,0,128,428,1041,90,455,0,13,80,67,144,211,180,190,159,171,443,191,45,193,317,38,82,243,51,107,234,191,112,56,Cryptophyceae,0.7852829,Eukaryota,Cryptomonadales_X,Plagioselmis,Hacrobia,Cryptomonadales,Cryptophyta,Plagioselmis_prolonga,53
d345d9a323245ec53bbc422dc917b8ef,751,169,202,235,342,397,49,63,36,1746,653,700,33,341,339,30,274,70,8,54,461,230,5,344,0,0,128,5,0,0,153,109,94,22,0,0,101,67,29,0,0,33,61,0,777,259,6,21,19,313,820,141,55,31,40,55,76,412,218,97,48,25,146,791,191,0,6,27,30,374,642,NA,0.9736479,Eukaryota,NA,NA,Opisthokonta,NA,NA,NA,50
2dab4ccb3c9fe699f7d59abf66a0efd1,0,0,0,0,740,638,0,0,0,986,914,1813,0,0,11,15,328,218,0,0,441,28,230,0,0,0,0,0,0,0,0,0,0,653,1908,221,0,0,0,0,776,0,0,27,23,96,614,0,0,0,15,65,42,0,36,48,202,86,196,0,0,0,90,1285,26,0,3,0,765,119,126,NA,0.9302405,Eukaryota,NA,NA,Opisthokonta,NA,NA,NA,52
075454a927eeba63fbe45737f274280e,21,0,36,43,14,13,0,5,12,10,17,8,8,20,206,689,560,291,19,12,713,1628,779,351,25,774,295,409,1115,369,5,4,0,15,293,496,4,8,3,452,454,0,17,45,92,28,28,0,7,7,17,25,23,5,5,6,30,56,45,0,0,161,114,30,37,0,0,53,44,28,19,Mamiellophyceae,1,Eukaryota,Bathycoccaceae,Ostreococcus,Archaeplastida,Mamiellales,Chlorophyta,NA,21
fb31ef6639e2a7664b08c5072c3303a7,180,0,62,290,258,348,0,1189,1091,481,237,439,0,612,14,21,98,47,0,0,30,0,0,6,0,0,0,0,0,0,172,772,73,9,0,0,1028,1654,415,0,0,0,0,0,0,0,37,0,0,0,0,0,14,0,0,0,7,18,7,0,32,24,4,193,449,0,0,0,8,341,150,Prostomatea_1,0.999952,Eukaryota,Colepidae,Tiarina,Alveolata,Prostomatea_1_X,Ciliophora,NA,97
