"row","col","corr"
"Marinimicrobia bacterium SCGC AAA003-E22","X4969",-0.213269742209676
"Marinimicrobia bacterium SCGC AAA160-I06","X4969",-0.306491253086928
"Marinobacter","X4969",-0.196594424154607
"Marinoscillum","X4969",-0.383996030791144
"MB11C04 marine group","X4969",-0.346722981703077
"MD3-55","X4969",-0.027918555900375
"metagenome","X4969",-0.318518843665381
"Milano-WF1B-03","X4969",-0.154839401503628
"MWH-UniP1 aquatic group","X4969",-0.0790716133790891
"Nitrosomonas","X4969",-0.147275013998843
"Nitrospina","X4969",-0.293205725002399
"NS10 marine group","X4969",-0.114823770986418
"NS2b marine group","X4969",-0.249157642594607
"NS4 marine group","X4969",-0.269931227557861
"NS5 marine group","X4969",-0.2299162563169
"Oleibacter","X4969",-0.153001757821804
"Oleiphilus","X4969",-0.341027296920477
"Oleispira","X4969",-0.129491294776615
"OM27 clade","X4969",-0.295017226473551
"OM43 clade","X4969",-0.157801449268122
"OM60(NOR5) clade","X4969",-0.0465050425232452
"OM75 clade","X4969",-0.212719590233624
"Pelagicoccus","X4969",-0.119606854859894
"Peredibacter","X4969",-0.225469422821718
"Persicirhabdus","X4969",-0.0840977874428592
"Planktomarina","X4969",0.279660767285811
"Porticoccus","X4969",-0.0414598443074086
"Prochlorococcus MIT9313","X4969",-0.0872888938790799
"Pseudoalteromonas","X4969",-0.278336246187364
"Pseudofulvibacter","X4969",-0.231761156452367
"Pseudohongiella","X4969",-0.0724347512774859
"Pseudomonas","X4969",-0.230106240553717
"Psychromonas","X4969",-0.168953769363015
"Reichenbachiella","X4969",-0.160736730283602
"Rhodobacteraceae bacterium REDSEA-S29_B10","X4969",-0.0699201706913061
"Rhodopirellula","X4969",-0.250629205595683
"Roseibacillus","X4969",-0.128483609014562
"Roseobacter clade NAC11-7 lineage","X4969",-0.227676018139529
"Rubripirellula","X4969",-0.248001304637977
"Ruegeria","X4969",-0.194537416855236
"Saprospira","X4969",-0.198120558255359
"SAR116 cluster bacterium REDSEA-S10_B10N8","X4969",-0.072705057105275
"SAR202 cluster bacterium SCGC AAA240-N13","X4969",-0.189921538168453
"SAR86 cluster bacterium REDSEA-S09_B4","X4969",-0.217610405605244
"SAR92 clade","X4969",-0.181015440675852
"SCGC AAA164-E04","X4969",-0.182462965408459
"seawater metagenome","X4969",-0.0553410463465572
"Shewanella","X4969",-0.213083999465586
"Sinobacterium","X4969",-0.108603746972302
"Sulfitobacter","X4969",-0.134231288178546
"SUP05 cluster","X4969",-0.323737329602374
"Sva0996 marine group","X4969",-0.285702757446009
"Synechococcus CC9902","X4969",-0.201742007762332
"Thalassotalea","X4969",-0.158502164471346
"Ulvibacter","X4969",0.214890234557988
"A714019","X34346",-0.376454982004153
"Aliiglaciecola","X34346",-0.333629130059428
"Alteromonas","X34346",-0.392908132707241
"Alteromonas macleodii","X34346",-0.353837401263614
"Amphritea","X34346",-0.0489312955210494
"Amylibacter","X34346",0.321145210576805
"Ascidiaceihabitans","X34346",-0.173384717839974
"AT-s3-44","X34346",-0.368208164930426
"Aureispira","X34346",-0.426049596211185
"BD1-7 clade","X34346",-0.0419138536385226
"Blastopirellula","X34346",-0.311431584374897
"Candidatus Actinomarina","X34346",-0.180797289773489
"Candidatus Endoecteinascidia","X34346",-0.375639087010067
"Candidatus Nitrosopelagicus","X34346",-0.423658402346152
"Candidatus Nitrosopumilus","X34346",-0.372941423880955
"Candidatus Puniceispirillum","X34346",-0.179433554458004
"Catenovulum","X34346",-0.35221784751953
"CL500-3","X34346",-0.0283499562549334
"Clade Ia","X34346",-0.23503271621612
"Clade Ib","X34346",-0.460848293223035
"Cm1-21","X34346",-0.323149357854532
"Colwellia","X34346",-0.382267763405983
"Crocinitomix","X34346",-0.319557114704532
"D_7__Chaetoceros","X34346",0.279305299403045
"Dokdonia","X34346",-0.271751960923964
"Flavicella","X34346",-0.383970382384532
"Fluviicola","X34346",0.0526680298758077
"Formosa","X34346",0.444575302943708
"Francisella","X34346",0.135074116905626
"FS140-16B-02 marine group","X34346",-0.424222330726318
"Halioglobus","X34346",-0.278595781104279
"Halomonas","X34346",-0.403774206142755
"Hellea","X34346",0.411999740979943
"hydrothermal vent metagenome","X34346",-0.486208033934206
"Idiomarina","X34346",-0.327523204422878
"IS-44","X34346",-0.0251174622907535
"JL-ETNP-F27","X34346",-0.371948558103461
"Lentimonas","X34346",-0.165810692278491
"Lentisphaera","X34346",-0.504634052064798
"Lewinella","X34346",0.305706382880873
"LS-NOB","X34346",-0.37113814730347
"Luminiphilus","X34346",-0.0839167287142786
"Magnetospira","X34346",-0.368125415953889
"Marinagarivorans","X34346",-0.303206658892334
"marine metagenome","X34346",-0.569266860607166
"Marinimicrobia bacterium SCGC AAA003-E22","X34346",-0.35642122175269
"Marinimicrobia bacterium SCGC AAA160-I06","X34346",-0.462405746002414
"Marinobacter","X34346",-0.337064476898405
"Marinoscillum","X34346",-0.4732589482969
"MB11C04 marine group","X34346",-0.223839085661788
"MD3-55","X34346",-0.16009924212543
"metagenome","X34346",-0.554755415297309
"Milano-WF1B-03","X34346",-0.233378988148469
"MWH-UniP1 aquatic group","X34346",-0.228349553917627
"Nitrosomonas","X34346",-0.200010417164701
"Nitrospina","X34346",-0.472883384128449
"NS10 marine group","X34346",0.172896941476551
"NS2b marine group","X34346",-0.507082849765183
"NS4 marine group","X34346",-0.113770270390404
"NS5 marine group","X34346",-0.31062466298835
"Oleibacter","X34346",-0.229755066681596
"Oleiphilus","X34346",0.100233008366054
"Oleispira","X34346",-0.193555603060156
"OM27 clade","X34346",-0.379193495726757
"OM43 clade","X34346",-0.0994444313602166
"OM60(NOR5) clade","X34346",0.0247203473461095
"OM75 clade","X34346",-0.341685960474542
"Pelagicoccus","X34346",-0.259526568075934
"Peredibacter","X34346",-0.306403704888996
"Persicirhabdus","X34346",-0.231397346787646
"Planktomarina","X34346",0.448353477499072
"Porticoccus","X34346",-0.0381058768884061
"Prochlorococcus MIT9313","X34346",-0.217347650552452
"Pseudoalteromonas","X34346",-0.470596179090969
"Pseudofulvibacter","X34346",-0.391056171258228
"Pseudohongiella","X34346",-0.237067223511428
"Pseudomonas","X34346",-0.312917062858715
"Psychromonas","X34346",-0.27819150430429
"Reichenbachiella","X34346",-0.28908102806115
"Rhodobacteraceae bacterium REDSEA-S29_B10","X34346",-0.192969135939222
"Rhodopirellula","X34346",-0.39667613054989
"Roseibacillus","X34346",-0.213713534909061
"Roseobacter clade NAC11-7 lineage","X34346",-0.3078607869379
"Rubripirellula","X34346",-0.32257466448539
"Ruegeria","X34346",0.212756513474998
"Saprospira","X34346",0.269467607181317
"SAR116 cluster bacterium REDSEA-S10_B10N8","X34346",-0.212021715320762
"SAR202 cluster bacterium SCGC AAA240-N13","X34346",-0.321938020897835
"SAR86 cluster bacterium REDSEA-S09_B4","X34346",-0.366089890644095
"SAR92 clade","X34346",-0.0493514468028601
"SCGC AAA164-E04","X34346",-0.21092957375742
"seawater metagenome","X34346",-0.171361382167191
"Shewanella","X34346",-0.235498400334638
"Sinobacterium","X34346",-0.170478395535958
"Sulfitobacter","X34346",0.205939537164244
"SUP05 cluster","X34346",-0.351072912764691
"Sva0996 marine group","X34346",-0.458921744464744
"Synechococcus CC9902","X34346",-0.433877192335852
"Thalassotalea","X34346",-0.318152716839997
"Ulvibacter","X34346",0.449223308033989
"A714019","X17812",-0.178401663455304
"Aliiglaciecola","X17812",-0.110979983140644
"Alteromonas","X17812",-0.179521075136249
"Alteromonas macleodii","X17812",-0.14634426506528
"Amphritea","X17812",-0.0160259530416388
"Amylibacter","X17812",0.0158197068474011
"Ascidiaceihabitans","X17812",-0.208218458727186
"AT-s3-44","X17812",-0.157661160264636
"Aureispira","X17812",-0.19597995837813
"BD1-7 clade","X17812",-0.195295076155851
"Blastopirellula","X17812",-0.162153895494992
"Candidatus Actinomarina","X17812",-0.0575074910989049
"Candidatus Endoecteinascidia","X17812",-0.16124562620256
"Candidatus Nitrosopelagicus","X17812",-0.187662835685343
"Candidatus Nitrosopumilus","X17812",-0.186100534134963
"Candidatus Puniceispirillum","X17812",-0.0473482221380639
"Catenovulum","X17812",-0.145273506575656
"CL500-3","X17812",-0.131609047581358
"Clade Ia","X17812",-0.0890176497983953
"Clade Ib","X17812",-0.194255284401563
"Cm1-21","X17812",-0.148589710565003
"Colwellia","X17812",-0.164336065930355
"Crocinitomix","X17812",-0.184976400994492
"D_7__Chaetoceros","X17812",-0.0567795760254252
"Dokdonia","X17812",-0.120136673714892
"Flavicella","X17812",-0.159825405898686
"Fluviicola","X17812",0.0945465748744647
"Formosa","X17812",0.11629056873463
"Francisella","X17812",-0.170166888026109
"FS140-16B-02 marine group","X17812",-0.182646911366713
"Halioglobus","X17812",-0.202708087714813
"Halomonas","X17812",-0.157786774552896
"Hellea","X17812",0.0895929762873263
"hydrothermal vent metagenome","X17812",-0.223106978923296
"Idiomarina","X17812",-0.1814149337212
"IS-44","X17812",0.0814419629926744
"JL-ETNP-F27","X17812",-0.180916029293391
"Lentimonas","X17812",-0.0213043486754485
"Lentisphaera","X17812",-0.200403343699186
"Lewinella","X17812",-0.118326733384883
"LS-NOB","X17812",-0.178510489451887
"Luminiphilus","X17812",0.0165103838090899
"Magnetospira","X17812",-0.156142565866661
"Marinagarivorans","X17812",-0.128821528834754
"marine metagenome","X17812",-0.265231558845866
"Marinimicrobia bacterium SCGC AAA003-E22","X17812",-0.151698833992876
"Marinimicrobia bacterium SCGC AAA160-I06","X17812",-0.238097156792447
"Marinobacter","X17812",-0.143188908887538
"Marinoscillum","X17812",-0.275811163228171
"MB11C04 marine group","X17812",-0.207544786944182
"MD3-55","X17812",-0.0427374042308549
"metagenome","X17812",-0.234599026103267
"Milano-WF1B-03","X17812",-0.0990639274710665
"MWH-UniP1 aquatic group","X17812",-0.0586967421359615
"Nitrosomonas","X17812",-0.114294464184069
"Nitrospina","X17812",-0.212927152857609
"NS10 marine group","X17812",-0.106595124592525
"NS2b marine group","X17812",-0.215637112241156
"NS4 marine group","X17812",-0.203305875384631
"NS5 marine group","X17812",-0.174564434718005
"Oleibacter","X17812",-0.123001451118296
"Oleiphilus","X17812",-0.216880596864299
"Oleispira","X17812",-0.0908008814330993
"OM27 clade","X17812",-0.191036941074462
"OM43 clade","X17812",-0.0721785270098006
"OM60(NOR5) clade","X17812",0.00627412379551508
"OM75 clade","X17812",-0.158829321862474
"Pelagicoccus","X17812",-0.0721956393121166
"Peredibacter","X17812",-0.150463738985294
"Persicirhabdus","X17812",-0.0651529430440299
"Planktomarina","X17812",0.225666871652539
"Porticoccus","X17812",0.00377617596034582
"Prochlorococcus MIT9313","X17812",-0.0527375105738255
"Pseudoalteromonas","X17812",-0.20768245546663
"Pseudofulvibacter","X17812",-0.146538337210879
"Pseudohongiella","X17812",-0.0196583435040144
"Pseudomonas","X17812",-0.157356099811979
"Psychromonas","X17812",-0.114063516341932
"Reichenbachiella","X17812",-0.124965973860359
"Rhodobacteraceae bacterium REDSEA-S29_B10","X17812",-0.0663203211188932
"Rhodopirellula","X17812",-0.181861638249454
"Roseibacillus","X17812",-0.089359120391893
"Roseobacter clade NAC11-7 lineage","X17812",-0.182929516715237
"Rubripirellula","X17812",-0.15269413558351
"Ruegeria","X17812",-0.120004510538893
"Saprospira","X17812",-0.150341403998497
"SAR116 cluster bacterium REDSEA-S10_B10N8","X17812",-0.0597868027453251
"SAR202 cluster bacterium SCGC AAA240-N13","X17812",-0.134490687313762
"SAR86 cluster bacterium REDSEA-S09_B4","X17812",-0.154537611129229
"SAR92 clade","X17812",-0.104747122395382
"SCGC AAA164-E04","X17812",-0.132040469564405
"seawater metagenome","X17812",-0.0363545040716403
"Shewanella","X17812",-0.142157456538048
"Sinobacterium","X17812",-0.0808359389751825
"Sulfitobacter","X17812",-0.0556955985524199
"SUP05 cluster","X17812",-0.23378986060803
"Sva0996 marine group","X17812",-0.205348143243822
"Synechococcus CC9902","X17812",-0.132759746169235
"Thalassotalea","X17812",-0.138409769690209
"Ulvibacter","X17812",0.0981629609916806
"A714019","X37207",-0.355385084690913
"Aliiglaciecola","X37207",-0.286491439259894
"Alteromonas","X37207",-0.365566737876333
"Alteromonas macleodii","X37207",-0.327418512089659
"Amphritea","X37207",-0.0701788480723717
"Amylibacter","X37207",0.162797374863817
"Ascidiaceihabitans","X37207",-0.170120060787928
"AT-s3-44","X37207",-0.344215712514899
"Aureispira","X37207",-0.397069602184108
"BD1-7 clade","X37207",-0.16807735633605
"Blastopirellula","X37207",-0.216085298190097
"Candidatus Actinomarina","X37207",-0.162174470488664
"Candidatus Endoecteinascidia","X37207",-0.346911689900968
"Candidatus Nitrosopelagicus","X37207",-0.39506311689368
"Candidatus Nitrosopumilus","X37207",-0.345375850747781
"Candidatus Puniceispirillum","X37207",-0.185856094577059
"Catenovulum","X37207",-0.32264210981041
"CL500-3","X37207",-0.0960516875942407
"Clade Ia","X37207",-0.213039455027907
"Clade Ib","X37207",-0.428368924797418
"Cm1-21","X37207",-0.298608359463713
"Colwellia","X37207",-0.354391455616703
"Crocinitomix","X37207",-0.338917959255142
"D_7__Chaetoceros","X37207",0.127509026196731
"Dokdonia","X37207",-0.257488225480805
"Flavicella","X37207",-0.321111175490278
"Fluviicola","X37207",0.106196059226347
"Formosa","X37207",0.263550937576304
"Francisella","X37207",0.0439287719378886
"FS140-16B-02 marine group","X37207",-0.391159212559424
"Halioglobus","X37207",-0.2090575109711
"Halomonas","X37207",-0.375639759394706
"Hellea","X37207",0.237494308834115
"hydrothermal vent metagenome","X37207",-0.447464028201711
"Idiomarina","X37207",-0.315598069455637
"IS-44","X37207",-0.0259206565052059
"JL-ETNP-F27","X37207",-0.354981501730346
"Lentimonas","X37207",-0.170512636413453
"Lentisphaera","X37207",-0.465765018745835
"Lewinella","X37207",0.0751084901048198
"LS-NOB","X37207",-0.345531871208532
"Luminiphilus","X37207",-0.0976966986096555
"Magnetospira","X37207",-0.344838284356264
"Marinagarivorans","X37207",-0.278317660127941
"marine metagenome","X37207",-0.526315323760287
"Marinimicrobia bacterium SCGC AAA003-E22","X37207",-0.335237033763471
"Marinimicrobia bacterium SCGC AAA160-I06","X37207",-0.424696221299851
"Marinobacter","X37207",-0.318584376121275
"Marinoscillum","X37207",-0.49122985469873
"MB11C04 marine group","X37207",-0.273405778209214
"MD3-55","X37207",-0.189192584983855
"metagenome","X37207",-0.531966745078543
"Milano-WF1B-03","X37207",-0.212594217758389
"MWH-UniP1 aquatic group","X37207",-0.194880987568676
"Nitrosomonas","X37207",-0.187811250502963
"Nitrospina","X37207",-0.440760487332847
"NS10 marine group","X37207",0.364395290039504
"NS2b marine group","X37207",-0.526091880545196
"NS4 marine group","X37207",-0.272694894038078
"NS5 marine group","X37207",-0.365337684819649
"Oleibacter","X37207",-0.20991972259421
"Oleiphilus","X37207",-0.0342652112984965
"Oleispira","X37207",-0.19536180533743
"OM27 clade","X37207",-0.352887587684934
"OM43 clade","X37207",-0.189929809507448
"OM60(NOR5) clade","X37207",-0.0487703734157156
"OM75 clade","X37207",-0.31371390968306
"Pelagicoccus","X37207",-0.227958735759572
"Peredibacter","X37207",-0.321427594766088
"Persicirhabdus","X37207",-0.228071533313026
"Planktomarina","X37207",0.294226419698749
"Porticoccus","X37207",-0.0268912014843292
"Prochlorococcus MIT9313","X37207",-0.195759065444427
"Pseudoalteromonas","X37207",-0.425710016719743
"Pseudofulvibacter","X37207",-0.351238342725251
"Pseudohongiella","X37207",-0.244400265186883
"Pseudomonas","X37207",-0.30508144896448
"Psychromonas","X37207",-0.25856373660214
"Reichenbachiella","X37207",-0.244152982834589
"Rhodobacteraceae bacterium REDSEA-S29_B10","X37207",-0.174958511145661
"Rhodopirellula","X37207",-0.366481784587697
"Roseibacillus","X37207",-0.217540254134407
"Roseobacter clade NAC11-7 lineage","X37207",-0.28645616166968
"Rubripirellula","X37207",-0.275307973800122
"Ruegeria","X37207",-0.00196631545035062
"Saprospira","X37207",0.0844569723943739
"SAR116 cluster bacterium REDSEA-S10_B10N8","X37207",-0.204225180802368
"SAR202 cluster bacterium SCGC AAA240-N13","X37207",-0.300342544245163
"SAR86 cluster bacterium REDSEA-S09_B4","X37207",-0.34187204246217
"SAR92 clade","X37207",-0.141675558516082
"SCGC AAA164-E04","X37207",-0.188639044482512
"seawater metagenome","X37207",-0.181919858676116
"Shewanella","X37207",-0.25725822881128
"Sinobacterium","X37207",-0.1510743350517
"Sulfitobacter","X37207",0.0194431013968989
"SUP05 cluster","X37207",-0.352684087370027
"Sva0996 marine group","X37207",-0.433240787040372
"Synechococcus CC9902","X37207",-0.418908829723676
"Thalassotalea","X37207",-0.302898410239666
"Ulvibacter","X37207",0.302012411467447
"A714019","X35342",-0.353718124433347
"Aliiglaciecola","X35342",-0.315409909837737
"Alteromonas","X35342",-0.384140910754566
"Alteromonas macleodii","X35342",-0.364962595601781
"Amphritea","X35342",0.043808916499123
"Amylibacter","X35342",0.556717534337545
"Ascidiaceihabitans","X35342",0.037788735401201
"AT-s3-44","X35342",-0.378178078618186
"Aureispira","X35342",-0.425128158010479
"BD1-7 clade","X35342",0.18834360401487
"Blastopirellula","X35342",-0.294066496050497
"Candidatus Actinomarina","X35342",-0.208134117041893
"Candidatus Endoecteinascidia","X35342",-0.387739843270355
"Candidatus Nitrosopelagicus","X35342",-0.426931923115837
"Candidatus Nitrosopumilus","X35342",-0.341521435407276
"Candidatus Puniceispirillum","X35342",-0.175333206546352
"Catenovulum","X35342",-0.328398220425342
"CL500-3","X35342",0.144273710508504
"Clade Ia","X35342",-0.221105630607933
"Clade Ib","X35342",-0.474314040592427
"Cm1-21","X35342",-0.324940151052809
"Colwellia","X35342",-0.361595602171992
"Crocinitomix","X35342",-0.326775264708739
"D_7__Chaetoceros","X35342",0.547286776773081
"Dokdonia","X35342",-0.27142801295814
"Flavicella","X35342",-0.397954062868453
"Fluviicola","X35342",0.0463602893726386
"Formosa","X35342",0.51440802386368
"Francisella","X35342",0.389063921392619
"FS140-16B-02 marine group","X35342",-0.430215990542449
"Halioglobus","X35342",-0.279773489237344
"Halomonas","X35342",-0.405283246260919
"Hellea","X35342",0.583601039561622
"hydrothermal vent metagenome","X35342",-0.478722413673916
"Idiomarina","X35342",-0.303289602970182
"IS-44","X35342",-0.0507803991371269
"JL-ETNP-F27","X35342",-0.356519210879665
"Lentimonas","X35342",-0.181518306572116
"Lentisphaera","X35342",-0.49431308366351
"Lewinella","X35342",0.626324176061854
"LS-NOB","X35342",-0.342126293693494
"Luminiphilus","X35342",-0.0976757095266055
"Magnetospira","X35342",-0.377822272069236
"Marinagarivorans","X35342",-0.280494184632995
"marine metagenome","X35342",-0.562031768185716
"Marinimicrobia bacterium SCGC AAA003-E22","X35342",-0.372411236451412
"Marinimicrobia bacterium SCGC AAA160-I06","X35342",-0.42280515930195
"Marinobacter","X35342",-0.33458568760846
"Marinoscillum","X35342",-0.363787703256092
"MB11C04 marine group","X35342",-0.0458151955649279
"MD3-55","X35342",-0.144505676861867
"metagenome","X35342",-0.551375032332711
"Milano-WF1B-03","X35342",-0.235645065454355
"MWH-UniP1 aquatic group","X35342",-0.235693639657269
"Nitrosomonas","X35342",-0.158119274765352
"Nitrospina","X35342",-0.467143845360234
"NS10 marine group","X35342",0.232706077379338
"NS2b marine group","X35342",-0.54280525514925
"NS4 marine group","X35342",0.111792509687694
"NS5 marine group","X35342",-0.219951058852309
"Oleibacter","X35342",-0.197041286317817
"Oleiphilus","X35342",0.410693137922143
"Oleispira","X35342",-0.187503363070509
"OM27 clade","X35342",-0.350866188107198
"OM43 clade","X35342",-0.00811591815269424
"OM60(NOR5) clade","X35342",0.108537749127435
"OM75 clade","X35342",-0.322311863937071
"Pelagicoccus","X35342",-0.233445249865579
"Peredibacter","X35342",-0.323039452925851
"Persicirhabdus","X35342",-0.223223037680046
"Planktomarina","X35342",0.487833014698843
"Porticoccus","X35342",-0.0465385972874829
"Prochlorococcus MIT9313","X35342",-0.228119886161476
"Pseudoalteromonas","X35342",-0.46886757521944
"Pseudofulvibacter","X35342",-0.39847909314864
"Pseudohongiella","X35342",-0.246014580387866
"Pseudomonas","X35342",-0.286201890715603
"Psychromonas","X35342",-0.271430263938615
"Reichenbachiella","X35342",-0.273154136322708
"Rhodobacteraceae bacterium REDSEA-S29_B10","X35342",-0.191344759628627
"Rhodopirellula","X35342",-0.387605342379994
"Roseibacillus","X35342",-0.190311508501699
"Roseobacter clade NAC11-7 lineage","X35342",-0.253497060096181
"Rubripirellula","X35342",-0.317550281015991
"Ruegeria","X35342",0.470142978775784
"Saprospira","X35342",0.54779607811869
"SAR116 cluster bacterium REDSEA-S10_B10N8","X35342",-0.237526137329621
"SAR202 cluster bacterium SCGC AAA240-N13","X35342",-0.341847149392491
"SAR86 cluster bacterium REDSEA-S09_B4","X35342",-0.375627515657375
"SAR92 clade","X35342",0.12926229699286
"SCGC AAA164-E04","X35342",-0.160750538707205
"seawater metagenome","X35342",-0.173696260085913
"Shewanella","X35342",-0.156479832352589
"Sinobacterium","X35342",-0.15805655816633
"Sulfitobacter","X35342",0.504831829262747
"SUP05 cluster","X35342",-0.266478840383215
"Sva0996 marine group","X35342",-0.458977659244258
"Synechococcus CC9902","X35342",-0.456195031222375
"Thalassotalea","X35342",-0.296273565642713
"Ulvibacter","X35342",0.565667080318334
"A714019","X10431",-0.252025020991006
"Aliiglaciecola","X10431",-0.180897270747986
"Alteromonas","X10431",-0.249276792942061
"Alteromonas macleodii","X10431",-0.207620809413933
"Amphritea","X10431",-0.0819432824051223
"Amylibacter","X10431",-0.0589316528705782
"Ascidiaceihabitans","X10431",-0.374911942085805
"AT-s3-44","X10431",-0.222021199404184
"Aureispira","X10431",-0.291113615330185
"BD1-7 clade","X10431",-0.300370185516174
"Blastopirellula","X10431",-0.270022155479074
"Candidatus Actinomarina","X10431",-0.102728969787782
"Candidatus Endoecteinascidia","X10431",-0.228212589651291
"Candidatus Nitrosopelagicus","X10431",-0.264781800697507
"Candidatus Nitrosopumilus","X10431",-0.256884703453955
"Candidatus Puniceispirillum","X10431",-0.102202482562838
"Catenovulum","X10431",-0.212081613264454
"CL500-3","X10431",-0.288094901107739
"Clade Ia","X10431",-0.15068354233193
"Clade Ib","X10431",-0.273766419971066
"Cm1-21","X10431",-0.216873605240601
"Colwellia","X10431",-0.238026040152976
"Crocinitomix","X10431",-0.265752872913449
"D_7__Chaetoceros","X10431",-0.10100307678185
"Dokdonia","X10431",-0.154863374416376
"Flavicella","X10431",-0.21590596977913
"Fluviicola","X10431",-0.0263770912684062
"Formosa","X10431",0.262704104743869
"Francisella","X10431",-0.196809290833201
"FS140-16B-02 marine group","X10431",-0.258379045656068
"Halioglobus","X10431",-0.244069961024989
"Halomonas","X10431",-0.238348904501043
"Hellea","X10431",0.0851849020732182
"hydrothermal vent metagenome","X10431",-0.321770277220373
"Idiomarina","X10431",-0.245597960279228
"IS-44","X10431",0.0180416623794963
"JL-ETNP-F27","X10431",-0.25414734893538
"Lentimonas","X10431",-0.027384122063984
"Lentisphaera","X10431",-0.299483256648936
"Lewinella","X10431",-0.19082043087518
"LS-NOB","X10431",-0.248013158335604
"Luminiphilus","X10431",-0.0484142112814904
"Magnetospira","X10431",-0.221987819911209
"Marinagarivorans","X10431",-0.181775507151664
"marine metagenome","X10431",-0.374189058489432
"Marinimicrobia bacterium SCGC AAA003-E22","X10431",-0.214681735296158
"Marinimicrobia bacterium SCGC AAA160-I06","X10431",-0.325073615547157
"Marinobacter","X10431",-0.20689484127779
"Marinoscillum","X10431",-0.414253890265118
"MB11C04 marine group","X10431",-0.368618393130099
"MD3-55","X10431",-0.0462600773741968
"metagenome","X10431",-0.334926567204362
"Milano-WF1B-03","X10431",-0.156847857425846
"MWH-UniP1 aquatic group","X10431",-0.0819193837751371
"Nitrosomonas","X10431",-0.154316660142523
"Nitrospina","X10431",-0.297990968982027
"NS10 marine group","X10431",-0.103243274750057
"NS2b marine group","X10431",-0.284122180904171
"NS4 marine group","X10431",-0.328217984645109
"NS5 marine group","X10431",-0.277561635572955
"Oleibacter","X10431",-0.162166412195052
"Oleiphilus","X10431",-0.35221770041574
"Oleispira","X10431",-0.133297603786155
"OM27 clade","X10431",-0.300513331403952
"OM43 clade","X10431",-0.186443629966635
"OM60(NOR5) clade","X10431",-0.078651053889559
"OM75 clade","X10431",-0.215316478825936
"Pelagicoccus","X10431",-0.109709847952393
"Peredibacter","X10431",-0.216455175822236
"Persicirhabdus","X10431",-0.120914308002265
"Planktomarina","X10431",0.254220884618109
"Porticoccus","X10431",-0.0424370381361555
"Prochlorococcus MIT9313","X10431",-0.0731669545526519
"Pseudoalteromonas","X10431",-0.295271157042017
"Pseudofulvibacter","X10431",-0.235142116785736
"Pseudohongiella","X10431",-0.100854039260333
"Pseudomonas","X10431",-0.242940263753063
"Psychromonas","X10431",-0.16929440230584
"Reichenbachiella","X10431",-0.178390357206403
"Rhodobacteraceae bacterium REDSEA-S29_B10","X10431",-0.0774706179793417
"Rhodopirellula","X10431",-0.252449459358867
"Roseibacillus","X10431",-0.167634263495361
"Roseobacter clade NAC11-7 lineage","X10431",-0.25476900412494
"Rubripirellula","X10431",-0.244504330665962
"Ruegeria","X10431",-0.203985041720643
"Saprospira","X10431",-0.225443687843801
"SAR116 cluster bacterium REDSEA-S10_B10N8","X10431",-0.0792192118461583
"SAR202 cluster bacterium SCGC AAA240-N13","X10431",-0.189430694293058
"SAR86 cluster bacterium REDSEA-S09_B4","X10431",-0.216549738230722
"SAR92 clade","X10431",-0.207115084439263
"SCGC AAA164-E04","X10431",-0.197222212186023
"seawater metagenome","X10431",-0.082214729593201
"Shewanella","X10431",-0.220398993186726
"Sinobacterium","X10431",-0.114475554176805
